Position,Track Name,Artist,Region
70,Bounce Back,Big Sean,JP
71,桜 super love(single mix),Sunny Day Service,JP
72,おとなの掟,Doughnuts Hole,JP
73,Don't Wanna Know,Maroon 5,JP
74,ワタリドリ,[Alexandros],JP
75,晴れた午後は代官山で,DJ HASEBE,JP
76,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,JP
77,Cold Water (feat. Justin Bieber & MØ),Major Lazer,JP
78,MAGIC,AAA,JP
79,Take No Defeat feat. Santell,banvox,JP
80,My Boo,Shota Shimizu,JP
81,El Amante,Nicky Jam,JP
82,I Got You,Bebe Rexha,JP
83,Selfish,Future,JP
84,Sugar,Maroon 5,JP
85,Uptown Funk,Mark Ronson,JP
86,Save Myself,Ed Sheeran,JP
87,SUBEME LA RADIO,Enrique Iglesias,JP
88,Tunnel Vision,Kodak Black,JP
89,どんなときも。,Sonoko Inoue,JP
90,Just the Way You Are,Bruno Mars,JP
91,Faces,Crystal Kay,JP
92,PINKVIBES,Suchmos,JP
93,All We Know,The Chainsmokers,JP
94,Versace On The Floor,Bruno Mars,JP
95,Don't Let Me Down,The Chainsmokers,JP
96,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,JP
97,The Beginning,ONE OK ROCK,JP
98,Side To Side,Ariana Grande,JP
99,Cake,Flo Rida,JP
100,Taking Off,ONE OK ROCK,JP
